,sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
78,"['R_Head_Z_For', 'L_Base_Z_Back', 'R_Head_Z_Back', 'R_Torso_Z_Back']",True,L_Base_Z_Back,4.0,robot,3.0,False,False,"['robot_stimuli\\R_Head_Z_For.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4']",robot_stimuli\L_Base_Z_Back.mp4,23.0,,,,,,,,,,,,,0.0,72.0,72.0,72.0,,,,,,,,,,,,,,,,,1277.5215558999998,1278.6121159,,,,,,,,,1282.2525956999998,1282.2525956999998,1282.2525956999998,1282.2525956999998,1282.2525956999998,1282.2525956999998,1282.2525956999998,1282.2525956999998,,,,,,,,,,,,,,1261.6509225,1261.6509225,,,,,,1278.6121159,1278.6121159,1278.6121159,c,1.976496000000111,1261.6509225,1261.6509225,1273.8891381999997,1278.6121159,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
79,"['R_Arm_X_For', 'R_Base_X_For', 'R_Head_Y_Back', 'L_Base_Z_Back']",True,R_Base_X_For,4.0,robot,3.0,False,False,"['robot_stimuli\\R_Arm_X_For.mp4', 'robot_stimuli\\R_Base_X_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4']",robot_stimuli\R_Base_X_For.mp4,23.0,,,,,,,,,,,,,0.0,73.0,73.0,73.0,,,,,,,,,,,,,,,,,1298.0415198,1299.1295732999995,,,,,,,,,1302.6694113,1302.6694113,1302.6694113,1302.6694113,1302.6694113,1302.6694113,1302.6694113,1302.6694113,,,,,,,,,,,,,,1282.2525956999998,1282.2525956999998,,,,,,1299.1295732999995,1299.1295732999995,1299.1295732999995,c,1.8752302999999984,1282.2525956999998,1282.2525956999998,1294.4115554,1299.1295732999995,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
80,"['R_Torso_X_For', 'R_Head_X_For', 'L_Torso_X_Back', 'R_Head_X_Back']",True,L_Torso_X_Back,4.0,robot,3.0,False,False,"['robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\L_Torso_X_Back.mp4,23.0,,,,,,,,,,,,,0.0,74.0,74.0,74.0,,,,,,,,,,,,,,,,,1318.5566264,1319.6516853999997,,,,,,,,,1323.2995378,1323.2995378,1323.2995378,1323.2995378,1323.2995378,1323.2995378,1323.2995378,1323.2995378,,,,,,,,,,,,,,1302.6694113,1302.6694113,,,,,,1319.6516853999997,1319.6516853999997,1319.6516853999997,c,1.858235600000512,1302.6694113,1302.6694113,1314.9250726,1319.6516853999997,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
81,"['R_Torso_Z_For', 'L_Arm_Z_For', 'R_Torso_X_For', 'R_Head_Y_For']",False,R_Arm_X_For,4.0,robot,3.0,False,False,"['robot_stimuli\\R_Torso_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\R_Head_Y_For.mp4']",robot_stimuli\R_Arm_X_For.mp4,23.0,,,,,,,,,,,,,0.0,75.0,75.0,75.0,,,,,,,,,,,,,,,,,1339.1716131999997,1340.2643003999997,,,,,,,,,1343.9134489999997,1343.9134489999997,1343.9134489999997,1343.9134489999997,1343.9134489999997,1343.9134489999997,1343.9134489999997,1343.9134489999997,,,,,,,,,,,,,,1323.2995378,1323.2995378,,,,,,1340.2643003999997,1340.2643003999997,1340.2643003999997,n,1.5500115000003234,1323.2995378,1323.2995378,1335.5300723,1340.2643003999997,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
82,"['R_Base_Y_For', 'L_Head_Y_For', 'R_Head_Y_Back', 'R_Arm_Z_For']",True,R_Base_Y_For,4.0,robot,3.0,False,False,"['robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Head_Y_Back.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4']",robot_stimuli\R_Base_Y_For.mp4,23.0,,,,,,,,,,,,,0.0,76.0,76.0,76.0,,,,,,,,,,,,,,,,,1359.7939481999997,1360.8789736,,,,,,,,,1364.5101962999995,1364.5101962999995,1364.5101962999995,1364.5101962999995,1364.5101962999995,1364.5101962999995,1364.5101962999995,1364.5101962999995,,,,,,,,,,,,,,1343.9134489999997,1343.9134489999997,,,,,,1360.8789736,1360.8789736,1360.8789736,c,1.8944198000002643,1343.9134489999997,1343.9134489999997,1356.1611408,1360.8789736,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
83,"['L_Torso_X_For', 'L_Torso_X_Back', 'L_Head_Z_Back', 'L_Head_Y_For']",False,L_Arm_X_For,4.0,robot,3.0,False,False,"['robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Head_Y_For.mp4']",robot_stimuli\L_Arm_X_For.mp4,23.0,,,,,,,,,,,,,0.0,77.0,77.0,77.0,,,,,,,,,,,,,,,,,1380.4551343999997,1381.5458371,,,,,,,,,1385.1855776999996,1385.1855776999996,1385.1855776999996,1385.1855776999996,1385.1855776999996,1385.1855776999996,1385.1855776999996,1385.1855776999996,,,,,,,,,,,,,,1364.5101962999995,1364.5101962999995,,,,,,1381.5458371,1381.5458371,1381.5458371,n,1.4350450000000592,1364.5101962999995,1364.5101962999995,1376.8141806,1381.5458371,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
84,"['L_Torso_Y_Back', 'R_Arm_Z_For', 'L_Torso_X_Back', 'L_Base_X_Back']",False,L_Head_Y_For,4.0,robot,3.0,False,False,"['robot_stimuli\\L_Torso_Y_Back.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Base_X_Back.mp4']",robot_stimuli\L_Head_Y_For.mp4,23.0,,,,,,,,,,,,,0.0,78.0,78.0,78.0,,,,,,,,,,,,,,,,,1400.9214883,1402.0234348,,,,,,,,,1405.6628419,1405.6628419,1405.6628419,1405.6628419,1405.6628419,1405.6628419,1405.6628419,1405.6628419,,,,,,,,,,,,,,1385.1855776999996,1385.1855776999996,,,,,,1402.0234348,1402.0234348,1402.0234348,n,1.6461059000001796,1385.1855776999996,1385.1855776999996,1397.3123370999997,1402.0234348,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
85,"['L_Head_X_For', 'L_Arm_Z_For', 'L_Torso_Y_For', 'L_Torso_Y_Back']",False,L_Base_X_For,4.0,robot,3.0,False,True,"['robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\L_Torso_Y_Back.mp4']",robot_stimuli\L_Base_X_For.mp4,23.0,,,,,,,,,,,,,0.0,79.0,79.0,79.0,,,,,,,,,,,,,,,,,1421.3433473,1422.428641,,,,,,,,,1426.0349299,1436.7044112,1426.0349299,1436.7044112,1426.0349299,1436.7044112,1426.0349299,1436.7044112,32.00617283950617,9.54529679999996,space,,,10.609582600000408,,,,,,,,1405.6628419,1405.6628419,,,,,,1422.428641,1422.428641,1422.428641,n,2.113739300000248,1405.6628419,1405.6628419,1417.8455961999998,1422.428641,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
86,"['R_Head_X_For', 'L_Base_Y_For', 'L_Arm_X_For', 'L_Arm_Z_Back', 'R_Base_Y_For', 'R_Arm_Y_For']",False,L_Base_X_Back,6.0,robot,3.0,True,False,"['robot_stimuli\\R_Head_X_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4', 'robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4']",robot_stimuli\L_Base_X_Back.mp4,23.0,,,,,,,,,,,,,0.0,80.0,80.0,80.0,,,,,,,,,,,,,,,,,1464.40724,1465.4977394999996,,,,,,,,,1469.1138198,1469.1138198,1469.1138198,1469.1138198,1469.1138198,1469.1138198,1469.1138198,1469.1138198,,,,,,,,,,,,,,1436.7044112,1436.7044112,space,4.556903400000351,,,,1465.4977394999996,1465.4977394999996,1465.4977394999996,n,1.8917236000000912,,,1460.8987395,1465.4977394999996,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
87,"['L_Base_X_For', 'L_Head_X_Back', 'R_Base_Y_Back', 'L_Head_X_For', 'R_Torso_X_Back', 'L_Torso_X_Back']",True,R_Base_Y_Back,6.0,robot,3.0,False,False,"['robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Torso_X_Back.mp4']",robot_stimuli\R_Base_Y_Back.mp4,23.0,,,,,,,,,,,,,0.0,81.0,81.0,81.0,,,,,,,,,,,,,,,,,1492.3252629999995,1493.4182624,,,,,,,,,1497.0663836,1497.0663836,1497.0663836,1497.0663836,1497.0663836,1497.0663836,1497.0663836,1497.0663836,,,,,,,,,,,,,,1469.1138198,1469.1138198,,,,,,1493.4182624,1493.4182624,1493.4182624,c,3.4832724000001463,1469.1138198,1469.1138198,1488.6797932999998,1493.4182624,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
88,"['R_Base_Y_For', 'L_Arm_Y_For', 'L_Base_X_For', 'R_Base_X_Back', 'L_Arm_X_For', 'R_Arm_X_Back']",True,R_Base_Y_For,6.0,robot,3.0,False,False,"['robot_stimuli\\R_Base_Y_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4']",robot_stimuli\R_Base_Y_For.mp4,23.0,,,,,,,,,,,,,0.0,82.0,82.0,82.0,,,,,,,,,,,,,,,,,1520.3698556,1498.1486639,,,,,,,,,1525.1168604999998,1525.1168604999998,1525.1168604999998,1525.1168604999998,1525.1168604999998,1525.1168604999998,1525.1168604999998,1525.1168604999998,,,,,,,,,,,,,,1497.0663836,1497.0663836,,,,,,1521.4636698,1521.4636698,1521.4636698,c,3.3575066000001925,1497.0663836,1497.0663836,1516.7289548999995,1521.4636698,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
89,"['L_Head_Z_Back', 'L_Arm_Z_For', 'L_Base_Z_Back', 'L_Base_Z_For', 'R_Torso_Y_For', 'R_Head_Y_For']",False,R_Head_Y_Back,6.0,robot,3.0,False,False,"['robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Arm_Z_For.mp4', 'robot_stimuli\\L_Base_Z_Back.mp4', 'robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Head_Y_For.mp4']",robot_stimuli\R_Head_Y_Back.mp4,23.0,,,,,,,,,,,,,0.0,83.0,83.0,83.0,,,,,,,,,,,,,,,,,1548.4385594,1549.5304168999996,,,,,,,,,1553.1789856,1553.1789856,1553.1789856,1553.1789856,1553.1789856,1553.1789856,1553.1789856,1553.1789856,,,,,,,,,,,,,,1525.1168604999998,1525.1168604999998,,,,,,1549.5304168999996,1549.5304168999996,1549.5304168999996,n,1.8582911000002011,1525.1168604999998,1525.1168604999998,1544.8083352999995,1549.5304168999996,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
90,"['R_Head_Z_Back', 'R_Arm_Z_Back', 'L_Torso_Z_Back', 'L_Head_Y_For', 'L_Torso_Z_For', 'R_Arm_X_Back']",True,L_Torso_Z_Back,6.0,robot,3.0,False,False,"['robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Arm_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_Back.mp4', 'robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\R_Arm_X_Back.mp4']",robot_stimuli\L_Torso_Z_Back.mp4,23.0,,,,,,,,,,,,,0.0,84.0,84.0,84.0,,,,,,,,,,,,,,,,,1576.3567555,1577.4478399,,,,,,,,,1580.9639798999997,1580.9639798999997,1580.9639798999997,1580.9639798999997,1580.9639798999997,1580.9639798999997,1580.9639798999997,1580.9639798999997,,,,,,,,,,,,,,1553.1789856,1553.1789856,,,,,,1577.4478399,1577.4478399,1577.4478399,c,2.3332587000003286,1553.1789856,1553.1789856,1572.7259125,1577.4478399,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
91,"['R_Head_Y_For', 'R_Torso_Y_For', 'R_Base_X_Back', 'L_Head_Z_Back', 'L_Torso_Z_For', 'R_Torso_Y_Back']",False,L_Head_Y_For,6.0,robot,3.0,False,False,"['robot_stimuli\\R_Head_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4', 'robot_stimuli\\L_Torso_Z_For.mp4', 'robot_stimuli\\R_Torso_Y_Back.mp4']",robot_stimuli\L_Head_Y_For.mp4,23.0,,,,,,,,,,,,,0.0,85.0,85.0,85.0,,,,,,,,,,,,,,,,,1604.2719414999997,1605.3669729999997,,,,,,,,,1609.1896746999996,1609.1896746999996,1609.1896746999996,1609.1896746999996,1609.1896746999996,1609.1896746999996,1609.1896746999996,1609.1896746999996,,,,,,,,,,,,,,1580.9639798999997,1580.9639798999997,,,,,,1605.3669729999997,1605.3669729999997,1605.3669729999997,c,3.78329650000012,1580.9639798999997,1580.9639798999997,1600.6430769,1605.3669729999997,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
92,"['L_Torso_X_Back', 'L_Base_X_For', 'L_Head_X_For', 'R_Torso_X_For', 'L_Base_Y_For', 'L_Base_Y_Back']",False,L_Head_Z_For,6.0,robot,3.0,False,False,"['robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Base_X_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4', 'robot_stimuli\\R_Torso_X_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Base_Y_Back.mp4']",robot_stimuli\L_Head_Z_For.mp4,23.0,,,,,,,,,,,,,0.0,86.0,86.0,86.0,,,,,,,,,,,,,,,,,1632.2593794999998,1633.3461456,,,,,,,,,1636.9886739999995,1636.9886739999995,1636.9886739999995,1636.9886739999995,1636.9886739999995,1636.9886739999995,1636.9886739999995,1636.9886739999995,,,,,,,,,,,,,,1609.1896746999996,1609.1896746999996,,,,,,1633.3461456,1633.3461456,1633.3461456,n,2.57094769999992,1609.1896746999996,1609.1896746999996,1628.6943692999998,1633.3461456,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
93,"['L_Base_X_Back', 'R_Head_Z_Back', 'R_Arm_Y_For', 'R_Torso_Y_For', 'L_Base_Y_For', 'L_Head_X_Back']",True,L_Base_X_Back,6.0,robot,3.0,False,False,"['robot_stimuli\\L_Base_X_Back.mp4', 'robot_stimuli\\R_Head_Z_Back.mp4', 'robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Head_X_Back.mp4']",robot_stimuli\L_Base_X_Back.mp4,23.0,,,,,,,,,,,,,0.0,87.0,87.0,87.0,,,,,,,,,,,,,,,,,1660.0765103,1661.1784205,,,,,,,,,1664.7845042,1664.7845042,1664.7845042,1664.7845042,1664.7845042,1664.7845042,1664.7845042,1664.7845042,,,,,,,,,,,,,,1636.9886739999995,1636.9886739999995,,,,,,1661.1784205,1661.1784205,1661.1784205,c,2.6508726000005254,1636.9886739999995,1636.9886739999995,1656.4417857,1661.1784205,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
94,"['L_Head_Y_For', 'R_Torso_X_Back', 'L_Head_Z_For', 'L_Base_Z_For', 'R_Torso_Y_For', 'R_Head_X_Back']",False,L_Arm_Y_Back,6.0,robot,3.0,False,False,"['robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4', 'robot_stimuli\\L_Base_Z_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4', 'robot_stimuli\\R_Head_X_Back.mp4']",robot_stimuli\L_Arm_Y_Back.mp4,23.0,,,,,,,,,,,,,0.0,88.0,88.0,88.0,,,,,,,,,,,,,,,,,1688.0909042999997,1689.1834833999997,,,,,,,,,1692.8326626999997,1692.8326626999997,1692.8326626999997,1692.8326626999997,1692.8326626999997,1692.8326626999997,1692.8326626999997,1692.8326626999997,,,,,,,,,,,,,,1664.7845042,1664.7845042,,,,,,1689.1834833999997,1689.1834833999997,1689.1834833999997,n,1.2301414000002069,1664.7845042,1664.7845042,1684.4567573999998,1689.1834833999997,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
95,"['L_Base_Y_Back', 'R_Torso_Z_Back', 'R_Base_Y_Back', 'L_Torso_Y_For', 'L_Head_Y_For', 'R_Torso_X_Back']",True,L_Torso_Y_For,6.0,robot,3.0,False,True,"['robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\R_Torso_Z_Back.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\L_Torso_Y_For.mp4', 'robot_stimuli\\L_Head_Y_For.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4']",robot_stimuli\L_Torso_Y_For.mp4,23.0,,,,,,,,,,,,,0.0,89.0,89.0,89.0,,,,,,,,,,,,,,,,,1716.1043032999996,1693.9091561,,,,,,,,,1720.8733459,1725.7029733999998,1720.8733459,1725.7029733999998,1720.8733459,1725.7029733999998,1720.8733459,1725.7029733999998,39.5679012345679,3.6589718999998695,space,,,4.75537920000022,,,,,,,,1692.8326626999997,1692.8326626999997,,,,,,1717.1958354999997,1717.1958354999997,1717.1958354999997,c,1.929206700000464,1692.8326626999997,1692.8326626999997,1712.4620757999996,1717.1958354999997,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
96,"['G', 'K']",True,K,2.0,letter,4.0,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,1739.8746919,1740.9394171,,,,,,,,,1741.5640909999995,1741.5640909999995,1741.5640909999995,1741.5640909999995,1741.5640909999995,1741.5640909999995,1741.5640909999995,1741.5640909999995,,,,,,,,,,,,,,1725.7029733999998,1725.7029733999998,space,8.590798200000222,1737.6573559999997,1739.8746919,1740.9394171,1740.9394171,1740.9394171,1740.9394171,c,0.5611073000003444,,,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
97,"['X', 'C']",False,Z,2.0,letter,4.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,91.0,91.0,91.0,,,,,,,,,,,,,,,,,1746.9236993999998,1747.9895198,,,,,,,,,1749.2215656999997,1749.2215656999997,1749.2215656999997,1749.2215656999997,1749.2215656999997,1749.2215656999997,1749.2215656999997,1749.2215656999997,,,,,,,,,,,,,,1741.5640909999995,1741.5640909999995,,,1744.9099879,1746.9236993999998,1747.9895198,1747.9895198,1747.9895198,1747.9895198,n,1.1040993999998818,1741.5640909999995,1741.5640909999995,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
98,"['F', 'Z']",False,N,2.0,letter,4.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,92.0,92.0,92.0,,,,,,,,,,,,,,,,,1754.7900427999998,1755.8560218999996,,,,,,,,,1756.4798625,1756.4798625,1756.4798625,1756.4798625,1756.4798625,1756.4798625,1756.4798625,1756.4798625,,,,,,,,,,,,,,1749.2215656999997,1749.2215656999997,,,1752.5719368,1754.7900427999998,1755.8560218999996,1755.8560218999996,1755.8560218999996,1755.8560218999996,n,0.5491684000002124,1749.2215656999997,1749.2215656999997,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
99,"['S', 'T']",True,T,2.0,letter,4.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,93.0,93.0,93.0,,,,,,,,,,,,,,,,,1761.6488675,1762.7056361,,,,,,,,,1763.3353018999996,1763.3353018999996,1763.3353018999996,1763.3353018999996,1763.3353018999996,1763.3353018999996,1763.3353018999996,1763.3353018999996,,,,,,,,,,,,,,1756.4798625,1756.4798625,,,1759.6296542,1761.6488675,1762.7056361,1762.7056361,1762.7056361,1762.7056361,c,0.5066054000002396,1756.4798625,1756.4798625,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
100,"['X', 'J']",True,J,2.0,letter,4.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,94.0,94.0,94.0,,,,,,,,,,,,,,,,,1768.8950105999998,1769.9554596999997,,,,,,,,,1770.5805799999998,1770.5805799999998,1770.5805799999998,1770.5805799999998,1770.5805799999998,1770.5805799999998,1770.5805799999998,1770.5805799999998,,,,,,,,,,,,,,1763.3353018999996,1763.3353018999996,,,1766.6710964,1768.8950105999998,1769.9554596999997,1769.9554596999997,1769.9554596999997,1769.9554596999997,c,0.4739114000002473,1763.3353018999996,1763.3353018999996,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
101,"['X', 'T']",False,V,2.0,letter,4.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,95.0,95.0,95.0,,,,,,,,,,,,,,,,,1775.7479153999998,1776.8056632999997,,,,,,,,,1777.6322553,1777.6322553,1777.6322553,1777.6322553,1777.6322553,1777.6322553,1777.6322553,1777.6322553,,,,,,,,,,,,,,1770.5805799999998,1770.5805799999998,,,1773.7321285999997,1775.7479153999998,1776.8056632999997,1776.8056632999997,1776.8056632999997,1776.8056632999997,n,0.7439281000000619,1770.5805799999998,1770.5805799999998,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
102,"['V', 'B']",True,V,2.0,letter,4.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,96.0,96.0,96.0,,,,,,,,,,,,,,,,,1782.9988635999998,1784.0543272999998,,,,,,,,,1784.6836386,1784.6836386,1784.6836386,1784.6836386,1784.6836386,1784.6836386,1784.6836386,1784.6836386,,,,,,,,,,,,,,1777.6322553,1777.6322553,,,1780.9759675,1782.9988635999998,1784.0543272999998,1784.0543272999998,1784.0543272999998,1784.0543272999998,c,0.4069545999999491,1777.6322553,1777.6322553,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
103,"['X', 'S']",True,S,2.0,letter,4.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,97.0,97.0,97.0,,,,,,,,,,,,,,,,,1790.0447007999996,1791.1064293,,,,,,,,,1791.7398223,1791.7398223,1791.7398223,1791.7398223,1791.7398223,1791.7398223,1791.7398223,1791.7398223,,,,,,,,,,,,,,1784.6836386,1784.6836386,,,1788.0284840999998,1790.0447007999996,1791.1064293,1791.1064293,1791.1064293,1791.1064293,c,0.5229134000004478,1784.6836386,1784.6836386,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
104,"['V', 'Z']",False,D,2.0,letter,4.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,23.0,,,,,,,,,,,,,0.0,98.0,98.0,98.0,,,,,,,,,,,,,,,,,1797.125724,1798.1987197999997,,,,,,,,,1798.8264707999997,1798.8264707999997,1798.8264707999997,1798.8264707999997,1798.8264707999997,1798.8264707999997,1798.8264707999997,1798.8264707999997,,,,,,,,,,,,,,1791.7398223,1791.7398223,,,1794.9036047,1797.125724,1798.1987197999997,1798.1987197999997,1798.1987197999997,1798.1987197999997,n,0.3894041000002062,1791.7398223,1791.7398223,,,23.0,1.0,2024-08-29_11h29.16.913,robot_sternberg_sign,2022.2.5,60.006900793607954,
