sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,19.12700819998281,19.12700819998281,f,7.541707500000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,26.696788100001868,26.696788100001868,space,97.0608249999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
Q,False,3,letter,1,True,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,233.571361099981,233.571361099981,space,5.417265500000212,239.00303359999089,240.07219419998,240.07219419998,240.07219419998,240.07219419998,240.07219419998,242.10582339999382,None,242.10582339999382,242.10582339999382,242.10582339999382,242.10582339999382,242.10582339999382,242.10582339999382,242.10582339999382,242.10582339999382,None,None,None,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
B,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,242.10582339999382,242.10582339999382,None,,242.10582339999382,243.17153540000436,243.17153540000436,243.17153540000436,243.17153540000436,243.17153540000436,245.2063111999887,None,245.2063111999887,245.2063111999887,245.2063111999887,245.2063111999887,245.2063111999887,245.2063111999887,245.2063111999887,245.2063111999887,None,None,None,242.10582339999382,242.10582339999382,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
K,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,20,20,20,,,,,,,,,,,,,245.2063111999887,245.2063111999887,None,,245.2063111999887,246.2658567999897,246.2658567999897,246.2658567999897,246.2658567999897,246.2658567999897,248.29781349998666,None,248.29781349998666,248.29781349998666,248.29781349998666,248.29781349998666,248.29781349998666,248.29781349998666,248.29781349998666,248.29781349998666,None,None,None,245.2063111999887,245.2063111999887,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
K,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,21,21,21,,,,,,,,,,,,,248.29781349998666,248.29781349998666,None,,248.29781349998666,249.36196379998,249.36196379998,249.36196379998,249.36196379998,249.36196379998,251.39403959998162,n,251.39403959998162,251.39403959998162,251.39403959998162,251.39403959998162,251.39403959998162,251.39403959998162,251.39403959998162,251.39403959998162,None,None,None,248.29781349998666,248.29781349998666,1.0272356000205036,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
B,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,22,22,22,,,,,,,,,,,,,251.39403959998162,251.39403959998162,None,,251.39403959998162,252.4537187999813,252.4537187999813,252.4537187999813,252.4537187999813,252.4537187999813,254.4801737999951,n,254.4801737999951,254.4801737999951,254.4801737999951,254.4801737999951,254.4801737999951,254.4801737999951,254.4801737999951,254.4801737999951,None,None,None,251.39403959998162,251.39403959998162,0.3513989000057336,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
X,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,23,23,23,,,,,,,,,,,,,254.4801737999951,254.4801737999951,None,,254.4801737999951,255.5523491000058,255.5523491000058,255.5523491000058,255.5523491000058,255.5523491000058,257.57723480000277,n,257.57723480000277,257.57723480000277,257.57723480000277,257.57723480000277,257.57723480000277,257.57723480000277,257.57723480000277,257.57723480000277,None,None,None,254.4801737999951,254.4801737999951,0.964201900002081,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
K,True,3,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,24,24,24,,,,,,,,,,,,,257.57723480000277,257.57723480000277,None,,257.57723480000277,258.64247530000284,258.64247530000284,258.64247530000284,258.64247530000284,258.64247530000284,260.66310429997975,c,260.66310429997975,260.66310429997975,260.66310429997975,260.66310429997975,260.66310429997975,260.66310429997975,260.66310429997975,260.66310429997975,None,None,None,257.57723480000277,257.57723480000277,1.6986122999805957,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
L,False,3,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,25,25,25,,,,,,,,,,,,,260.66310429997975,260.66310429997975,None,,260.66310429997975,261.721003499988,261.721003499988,261.721003499988,261.721003499988,261.721003499988,263.74253899999894,n,263.74253899999894,263.74253899999894,263.74253899999894,263.74253899999894,263.74253899999894,263.74253899999894,263.74253899999894,263.74253899999894,None,None,None,260.66310429997975,260.66310429997975,1.3005684999807272,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
X,True,3,letter,1,False,True,robot_stimuli\\filler.mp4,0,0,0,0,0,0,26,26,26,,,,,,,,,,,,,263.74253899999894,263.74253899999894,None,,263.74253899999894,264.81057339999825,264.81057339999825,264.81057339999825,264.81057339999825,264.81057339999825,266.8421565000026,c,266.8421565000026,,266.8421565000026,,266.8421565000026,,266.8421565000026,,25.061728395061728,3.6874889999744482,space,263.74253899999894,263.74253899999894,0.9863211999763735,4.8263674000045285,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
R_Arm_X_Back,False,1,robot,2,True,False,robot_stimuli\R_Arm_X_Back.mp4,0,0,0,0,0,0,27,27,27,,,,,,,,,,,,,271.69471189999604,271.69471189999604,space,2.4394508999830578,274.14877909998177,275.24337129999185,,275.24337129999185,275.24337129999185,275.24337129999185,,None,278.88318209999125,278.88318209999125,278.88318209999125,278.88318209999125,278.88318209999125,278.88318209999125,278.88318209999125,278.88318209999125,None,None,None,,,,,275.24337129999185,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
L_Arm_X_For,False,1,robot,2,False,False,robot_stimuli\L_Arm_X_For.mp4,0,0,0,0,0,0,28,28,28,,,,,,,,,,,,,278.88318209999125,278.88318209999125,None,,278.88318209999125,279.9689155999804,,279.9689155999804,279.9689155999804,279.9689155999804,,None,283.6184997999808,283.6184997999808,283.6184997999808,283.6184997999808,283.6184997999808,283.6184997999808,283.6184997999808,283.6184997999808,None,None,None,278.88318209999125,278.88318209999125,,,279.9689155999804,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
R_Torso_X_Back,False,1,robot,2,False,False,robot_stimuli\R_Torso_X_Back.mp4,0,0,0,0,0,0,29,29,29,,,,,,,,,,,,,283.6184997999808,283.6184997999808,None,,283.6184997999808,284.7154565999808,,284.7154565999808,284.7154565999808,284.7154565999808,,None,288.34575290000066,288.34575290000066,288.34575290000066,288.34575290000066,288.34575290000066,288.34575290000066,288.34575290000066,288.34575290000066,None,None,None,283.6184997999808,283.6184997999808,,,284.7154565999808,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
R_Torso_X_Back,True,1,robot,2,False,False,robot_stimuli\R_Torso_X_Back.mp4,0,0,0,0,0,0,30,30,30,,,,,,,,,,,,,288.34575290000066,288.34575290000066,None,,288.34575290000066,289.43050439999206,,289.43050439999206,289.43050439999206,289.43050439999206,,None,293.0688713999989,293.0688713999989,293.0688713999989,293.0688713999989,293.0688713999989,293.0688713999989,293.0688713999989,293.0688713999989,None,None,None,288.34575290000066,288.34575290000066,,,289.43050439999206,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
R_Torso_X_Back,True,1,robot,2,False,False,robot_stimuli\R_Torso_X_Back.mp4,0,0,0,0,0,0,31,31,31,,,,,,,,,,,,,293.0688713999989,293.0688713999989,None,,293.0688713999989,294.15158249999513,,294.15158249999513,294.15158249999513,294.15158249999513,,None,297.7834051999962,297.7834051999962,297.7834051999962,297.7834051999962,297.7834051999962,297.7834051999962,297.7834051999962,297.7834051999962,None,None,None,293.0688713999989,293.0688713999989,,,294.15158249999513,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
L_Head_X_For,False,1,robot,2,False,False,robot_stimuli\L_Head_X_For.mp4,0,0,0,0,0,0,32,32,32,,,,,,,,,,,,,297.7834051999962,297.7834051999962,None,,297.7834051999962,298.86204049998196,,298.86204049998196,298.86204049998196,298.86204049998196,,None,302.5309983000043,302.5309983000043,302.5309983000043,302.5309983000043,302.5309983000043,302.5309983000043,302.5309983000043,302.5309983000043,None,None,None,297.7834051999962,297.7834051999962,,,298.86204049998196,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
R_Arm_Z_Back,False,1,robot,2,False,False,robot_stimuli\R_Arm_Z_Back.mp4,0,0,0,0,0,0,33,33,33,,,,,,,,,,,,,302.5309983000043,302.5309983000043,None,,302.5309983000043,303.6262633999868,,303.6262633999868,303.6262633999868,303.6262633999868,,None,307.26285229998757,307.26285229998757,307.26285229998757,307.26285229998757,307.26285229998757,307.26285229998757,307.26285229998757,307.26285229998757,None,None,None,302.5309983000043,302.5309983000043,,,303.6262633999868,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
L_Head_X_For,False,1,robot,2,False,False,robot_stimuli\L_Head_X_For.mp4,0,0,0,0,0,0,34,34,34,,,,,,,,,,,,,307.26285229998757,307.26285229998757,None,,307.26285229998757,308.3475814999838,,308.3475814999838,308.3475814999838,308.3475814999838,,None,312.0155703999917,312.0155703999917,312.0155703999917,312.0155703999917,312.0155703999917,312.0155703999917,312.0155703999917,312.0155703999917,None,None,None,307.26285229998757,307.26285229998757,,,308.3475814999838,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
