sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
"['H', 'W', 'L', 'F']",True,L,4,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,519.8257837000001,520.8868351000001,,,,,,,,,521.7083495999996,521.7083495999996,521.7083495999996,521.7083495999996,521.7083495999996,521.7083495999996,521.7083495999996,521.7083495999996,None,None,None,,,,,,,,,,,507.26066419999916,507.26066419999916,space,3.0111323000000993,517.8109697,519.8257837000001,520.8868351000001,520.8868351000001,520.8868351000001,520.8868351000001,c,0.7214066999986244,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['W', 'G', 'L', 'H']",True,W,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,531.4560817000001,532.5184047999992,,,,,,,,,533.3422859000002,533.3422859000002,533.3422859000002,533.3422859000002,533.3422859000002,533.3422859000002,533.3422859000002,533.3422859000002,None,None,None,,,,,,,,,,,521.7083495999996,521.7083495999996,None,,529.4419070999993,531.4560817000001,532.5184047999992,532.5184047999992,532.5184047999992,532.5184047999992,c,0.6650309000015113,521.7083495999996,521.7083495999996,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['N', 'M', 'B', 'W']",False,K,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,542.8848581000002,534.4057563000006,,,,,,,,,544.7740104999993,544.7740104999993,544.7740104999993,544.7740104999993,544.7740104999993,544.7740104999993,544.7740104999993,544.7740104999993,None,None,None,,,,,,,,,,,533.3422859000002,533.3422859000002,None,,540.8623781000006,542.8848581000002,543.9527646000006,543.9527646000006,543.9527646000006,543.9527646000006,n,0.6308977999997296,533.3422859000002,533.3422859000002,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['Z', 'C', 'L', 'S']",True,Z,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,554.3276753999999,555.3896726999992,,,,,,,,,556.0129505999994,556.0129505999994,556.0129505999994,556.0129505999994,556.0129505999994,556.0129505999994,556.0129505999994,556.0129505999994,None,None,None,,,,,,,,,,,544.7740104999993,544.7740104999993,None,,552.3106521999998,554.3276753999999,555.3896726999992,555.3896726999992,555.3896726999992,555.3896726999992,c,0.5143803000009939,544.7740104999993,544.7740104999993,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L', 'G', 'B', 'P']",False,X,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,565.9623568999996,567.0193063999996,,,,,,,,,567.6463827999996,567.6463827999996,567.6463827999996,567.6463827999996,567.6463827999996,567.6463827999996,567.6463827999996,567.6463827999996,None,None,None,,,,,,,,,,,556.0129505999994,556.0129505999994,None,,563.7609976999993,565.9623568999996,567.0193063999996,567.0193063999996,567.0193063999996,567.0193063999996,n,0.5411896000005072,556.0129505999994,556.0129505999994,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['G', 'M', 'N', 'Q']",False,B,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,577.172987599999,578.2362995999993,,,,,,,,,579.0668036999996,579.0668036999996,579.0668036999996,579.0668036999996,579.0668036999996,579.0668036999996,579.0668036999996,579.0668036999996,None,None,None,,,,,,,,,,,567.6463827999996,567.6463827999996,None,,575.1594024000005,577.172987599999,578.2362995999993,578.2362995999993,578.2362995999993,578.2362995999993,n,0.6357046000011906,567.6463827999996,567.6463827999996,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['D', 'V', 'K', 'B']",False,M,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,588.9975068000003,590.0542893999991,,,,,,,,,590.8818525999995,590.8818525999995,590.8818525999995,590.8818525999995,590.8818525999995,590.8818525999995,590.8818525999995,590.8818525999995,None,None,None,,,,,,,,,,,579.0668036999996,579.0668036999996,None,,586.7848357000003,588.9975068000003,590.0542893999991,590.0542893999991,590.0542893999991,590.0542893999991,n,0.777102099998956,579.0668036999996,579.0668036999996,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['C', 'P', 'J', 'R']",False,L,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,600.8269798999991,601.8853932999991,,,,,,,,,602.7078514000004,602.7078514000004,602.7078514000004,602.7078514000004,602.7078514000004,602.7078514000004,602.7078514000004,602.7078514000004,None,None,None,,,,,,,,,,,590.8818525999995,590.8818525999995,None,,598.813886599999,600.8269798999991,601.8853932999991,601.8853932999991,601.8853932999991,601.8853932999991,n,0.6272227999997995,590.8818525999995,590.8818525999995,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['M', 'W', 'D', 'S']",True,S,4,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,612.2459187000004,613.3031265999998,,,,,,,,,614.1327679999995,614.1327679999995,614.1327679999995,614.1327679999995,614.1327679999995,614.1327679999995,614.1327679999995,614.1327679999995,None,None,None,,,,,,,,,,,602.7078514000004,602.7078514000004,None,,610.2276636999995,612.2459187000004,613.3031265999998,613.3031265999998,613.3031265999998,613.3031265999998,c,0.6969048999999359,602.7078514000004,602.7078514000004,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['C', 'H', 'D', 'Z']",True,H,4,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,623.8711807,624.9403831,,,,,,,,,625.7863404999989,653.7372954999992,625.7863404999989,653.7372954999992,625.7863404999989,653.7372954999992,625.7863404999989,653.7372954999992,26.60493827160494,26.62574820000009,space,,,27.90121200000067,,,,,,,,614.1327679999995,614.1327679999995,None,,621.8570589999999,623.8711807,624.9403831,624.9403831,624.9403831,624.9403831,c,0.7625857999992149,614.1327679999995,614.1327679999995,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['F', 'N', 'W', 'K', 'D', 'C']",True,K,6,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,669.5975918999993,670.6634324000006,,,,,,,,,671.4846591000005,671.4846591000005,671.4846591000005,671.4846591000005,671.4846591000005,671.4846591000005,671.4846591000005,671.4846591000005,None,None,None,,,,,,,,,,,653.7372954999992,653.7372954999992,space,2.142454299999372,667.5744319000005,669.5975918999993,670.6634324000006,670.6634324000006,670.6634324000006,670.6634324000006,c,0.6884075999987544,,,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['W', 'D', 'S', 'J', 'M', 'Z']",False,V,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,685.8043631,686.8681483,,,,,,,,,687.8905116000005,687.8905116000005,687.8905116000005,687.8905116000005,687.8905116000005,687.8905116000005,687.8905116000005,687.8905116000005,None,None,None,,,,,,,,,,,671.4846591000005,671.4846591000005,None,,683.5880595999988,685.8043631,686.8681483,686.8681483,686.8681483,686.8681483,n,0.8522576000013942,671.4846591000005,671.4846591000005,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['P', 'F', 'K', 'Z', 'M', 'T']",True,M,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,702.0064316999997,703.0698081999999,,,,,,,,,704.0948014000005,704.0948014000005,704.0948014000005,704.0948014000005,704.0948014000005,704.0948014000005,704.0948014000005,704.0948014000005,None,None,None,,,,,,,,,,,687.8905116000005,687.8905116000005,None,,699.9942732999989,702.0064316999997,703.0698081999999,703.0698081999999,703.0698081999999,703.0698081999999,c,0.8266461999992316,687.8905116000005,687.8905116000005,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['J', 'F', 'Z', 'L', 'H', 'D']",True,Z,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,718.0205690000003,719.1071052999996,,,,,,,,,719.9209333999988,719.9209333999988,719.9209333999988,719.9209333999988,719.9209333999988,719.9209333999988,719.9209333999988,719.9209333999988,None,None,None,,,,,,,,,,,704.0948014000005,704.0948014000005,None,,715.8003546,718.0205690000003,719.1071052999996,719.1071052999996,719.1071052999996,719.1071052999996,c,0.5965519999990647,704.0948014000005,704.0948014000005,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['J', 'D', 'H', 'N', 'T', 'G']",True,N,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,734.4192583999993,735.4851605000003,,,,,,,,,736.3094296999989,736.3094296999989,736.3094296999989,736.3094296999989,736.3094296999989,736.3094296999989,736.3094296999989,736.3094296999989,None,None,None,,,,,,,,,,,719.9209333999988,719.9209333999988,None,,732.4095278999994,734.4192583999993,735.4851605000003,735.4851605000003,735.4851605000003,735.4851605000003,c,0.5870997999991232,719.9209333999988,719.9209333999988,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['B', 'N', 'G', 'J', 'Q', 'Z']",False,T,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,750.8478378999989,751.9029434999993,,,,,,,,,753.1253190999996,753.1253190999996,753.1253190999996,753.1253190999996,753.1253190999996,753.1253190999996,753.1253190999996,753.1253190999996,None,None,None,,,,,,,,,,,736.3094296999989,736.3094296999989,None,,748.6335184999989,750.8478378999989,751.9029434999993,751.9029434999993,751.9029434999993,751.9029434999993,n,1.057381999999052,736.3094296999989,736.3094296999989,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L', 'G', 'V', 'X', 'J', 'D']",False,F,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,767.6515789000005,754.1853355000003,,,,,,,,,769.7412449999993,769.7412449999993,769.7412449999993,769.7412449999993,769.7412449999993,769.7412449999993,769.7412449999993,769.7412449999993,None,None,None,,,,,,,,,,,753.1253190999996,753.1253190999996,None,,765.4383104999997,767.6515789000005,768.7195943999996,768.7195943999996,768.7195943999996,768.7195943999996,n,0.8159935000003316,753.1253190999996,753.1253190999996,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['P', 'Q', 'B', 'W', 'F', 'J']",True,F,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,784.2650555,785.3181977000004,,,,,,,,,786.7413410999998,786.7413410999998,786.7413410999998,786.7413410999998,786.7413410999998,786.7413410999998,786.7413410999998,786.7413410999998,None,None,None,,,,,,,,,,,769.7412449999993,769.7412449999993,None,,782.0539317999992,784.2650555,785.3181977000004,785.3181977000004,785.3181977000004,785.3181977000004,n,1.2169690999999148,769.7412449999993,769.7412449999993,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['R', 'Z', 'L', 'K', 'N', 'Q']",False,D,6,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,801.3014452999996,787.8014131,,,,,,,,,803.7910001,803.7910001,803.7910001,803.7910001,803.7910001,803.7910001,803.7910001,803.7910001,None,None,None,,,,,,,,,,,786.7413410999998,786.7413410999998,None,,799.085100799999,801.3014452999996,802.3730212999999,802.3730212999999,802.3730212999999,802.3730212999999,n,1.1866912999994383,786.7413410999998,786.7413410999998,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['D', 'S', 'W', 'Z', 'M', 'C']",False,K,6,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,8,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,817.7131217999995,818.7699429000004,,,,,,,,,820.4251244999996,829.2124583000004,820.4251244999996,829.2124583000004,820.4251244999996,829.2124583000004,820.4251244999996,829.2124583000004,42.65432098765432,8.037287399998604,space,,,8.71872219999932,,,,,,,,803.7910001,803.7910001,None,,815.6927711999997,817.7131217999995,818.7699429000004,818.7699429000004,818.7699429000004,818.7699429000004,n,1.4294953999997233,803.7910001,803.7910001,,,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Head_X_Back', 'R_Torso_X_For']",False,L_Head_Y_Back,2,robot,2,True,False,"['robot_stimuli\\L_Head_X_Back.mp4', 'robot_stimuli\\R_Torso_X_For.mp4']",robot_stimuli\L_Head_Y_Back.mp4,8,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,841.7880260999991,842.8917275000003,,,,,,,,,846.5301643000003,846.5301643000003,846.5301643000003,846.5301643000003,846.5301643000003,846.5301643000003,846.5301643000003,846.5301643000003,None,None,None,,,,,,,,,,,829.2124583000004,829.2124583000004,space,4.099506399999882,,,,842.8917275000003,842.8917275000003,842.8917275000003,n,1.3883965999993961,,,838.1455580000002,842.8917275000003,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Base_Y_For', 'L_Head_Z_Back']",False,L_Arm_X_Back,2,robot,2,False,False,"['robot_stimuli\\L_Base_Y_For.mp4', 'robot_stimuli\\L_Head_Z_Back.mp4']",robot_stimuli\L_Arm_X_Back.mp4,8,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,854.870068799999,855.9604581999993,,,,,,,,,859.5991331000005,859.5991331000005,859.5991331000005,859.5991331000005,859.5991331000005,859.5991331000005,859.5991331000005,859.5991331000005,None,None,None,,,,,,,,,,,846.5301643000003,846.5301643000003,None,,,,,855.9604581999993,855.9604581999993,855.9604581999993,n,1.455019799999718,846.5301643000003,846.5301643000003,851.230048899999,855.9604581999993,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['R_Torso_X_Back', 'L_Arm_Z_Back']",False,R_Head_Y_For,2,robot,2,False,False,"['robot_stimuli\\R_Torso_X_Back.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4']",robot_stimuli\R_Head_Y_For.mp4,8,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,868.0230656000003,869.1122880000003,,,,,,,,,872.7606436000005,872.7606436000005,872.7606436000005,872.7606436000005,872.7606436000005,872.7606436000005,872.7606436000005,872.7606436000005,None,None,None,,,,,,,,,,,859.5991331000005,859.5991331000005,None,,,,,869.1122880000003,869.1122880000003,869.1122880000003,n,1.471801099998629,859.5991331000005,859.5991331000005,864.3934114999993,869.1122880000003,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Arm_X_For', 'R_Torso_Y_For']",True,L_Arm_X_For,2,robot,2,False,False,"['robot_stimuli\\L_Arm_X_For.mp4', 'robot_stimuli\\R_Torso_Y_For.mp4']",robot_stimuli\L_Arm_X_For.mp4,8,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,881.188941299999,882.2775486999999,,,,,,,,,885.9263405999991,885.9263405999991,885.9263405999991,885.9263405999991,885.9263405999991,885.9263405999991,885.9263405999991,885.9263405999991,None,None,None,,,,,,,,,,,872.7606436000005,872.7606436000005,None,,,,,882.2775486999999,882.2775486999999,882.2775486999999,c,2.378086300001087,872.7606436000005,872.7606436000005,877.5591034999998,882.2775486999999,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['R_Arm_Z_For', 'L_Arm_Z_Back']",False,L_Head_X_Back,2,robot,2,False,False,"['robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Z_Back.mp4']",robot_stimuli\L_Head_X_Back.mp4,8,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,894.3557576999992,895.4443632999992,,,,,,,,,899.0941072000005,899.0941072000005,899.0941072000005,899.0941072000005,899.0941072000005,899.0941072000005,899.0941072000005,899.0941072000005,None,None,None,,,,,,,,,,,885.9263405999991,885.9263405999991,None,,,,,895.4443632999992,895.4443632999992,895.4443632999992,n,0.867890499999703,885.9263405999991,885.9263405999991,890.7268710999997,895.4443632999992,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Base_Y_Back', 'L_Arm_Y_Back']",True,L_Base_Y_Back,2,robot,2,False,False,"['robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\L_Arm_Y_Back.mp4']",robot_stimuli\L_Base_Y_Back.mp4,8,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,907.451117999999,900.1748508000001,,,,,,,,,912.1277517999988,912.1277517999988,912.1277517999988,912.1277517999988,912.1277517999988,912.1277517999988,912.1277517999988,912.1277517999988,None,None,None,,,,,,,,,,,899.0941072000005,899.0941072000005,None,,,,,908.5442992999997,908.5442992999997,908.5442992999997,c,3.143700300001001,899.0941072000005,899.0941072000005,903.8216121999994,908.5442992999997,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['R_Base_X_Back', 'R_Head_Y_For']",True,R_Base_X_Back,2,robot,2,False,False,"['robot_stimuli\\R_Base_X_Back.mp4', 'robot_stimuli\\R_Head_Y_For.mp4']",robot_stimuli\R_Base_X_Back.mp4,8,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,920.5572598999988,921.6451607999988,,,,,,,,,925.2941805999999,925.2941805999999,925.2941805999999,925.2941805999999,925.2941805999999,925.2941805999999,925.2941805999999,925.2941805999999,None,None,None,,,,,,,,,,,912.1277517999988,912.1277517999988,None,,,,,921.6451607999988,921.6451607999988,921.6451607999988,c,2.5228538000010303,912.1277517999988,912.1277517999988,916.9270933999996,921.6451607999988,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Torso_X_For', 'L_Head_X_For']",True,L_Head_X_For,2,robot,2,False,False,"['robot_stimuli\\L_Torso_X_For.mp4', 'robot_stimuli\\L_Head_X_For.mp4']",robot_stimuli\L_Head_X_For.mp4,8,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,933.6569944999992,934.7434154999992,,,,,,,,,938.3054283000001,938.3054283000001,938.3054283000001,938.3054283000001,938.3054283000001,938.3054283000001,938.3054283000001,938.3054283000001,None,None,None,,,,,,,,,,,925.2941805999999,925.2941805999999,None,,,,,934.7434154999992,934.7434154999992,934.7434154999992,c,2.01663919999919,925.2941805999999,925.2941805999999,930.0923342000006,934.7434154999992,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Torso_X_Back', 'L_Head_Z_For']",True,L_Torso_X_Back,2,robot,2,False,False,"['robot_stimuli\\L_Torso_X_Back.mp4', 'robot_stimuli\\L_Head_Z_For.mp4']",robot_stimuli\L_Torso_X_Back.mp4,8,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,946.7545291999995,947.8404505999988,,,,,,,,,954.6631942999993,954.6631942999993,954.6631942999993,954.6631942999993,954.6631942999993,954.6631942999993,954.6631942999993,954.6631942999993,None,None,None,,,,,,,,,,,938.3054283000001,938.3054283000001,None,,,,,947.8404505999988,947.8404505999988,947.8404505999988,c,6.7910138000006555,938.3054283000001,938.3054283000001,943.1122044000003,947.8404505999988,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
"['L_Base_Y_Back', 'R_Torso_X_Back']",False,L_Torso_Y_Back,2,robot,2,False,True,"['robot_stimuli\\L_Base_Y_Back.mp4', 'robot_stimuli\\R_Torso_X_Back.mp4']",robot_stimuli\L_Torso_Y_Back.mp4,8,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,963.0234808000005,964.108323299999,,,,,,,,,967.645614699999,971.481458799999,967.645614699999,971.481458799999,967.645614699999,971.481458799999,967.645614699999,971.481458799999,38.64197530864198,2.4289404999999533,space,,,3.7776260000009643,,,,,,,,954.6631942999993,954.6631942999993,None,,,,,964.108323299999,964.108323299999,964.108323299999,c,1.9318044999999984,954.6631942999993,954.6631942999993,959.3946264000006,964.108323299999,8,001,2024-06-28_15h55.54.757,robot_sternberg_sign,2022.2.5,60.023361092271934,
