sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,key.rt,block_intro_text.stopped,block_intro_key.stopped,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,49.88174219999996,49.88174219999996,f,385.87856020000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
,,,,,,,,,,,,,,,,,,,,,,,,,435.8212388000002,435.8212388000002,space,45.86080769999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
M,False,3,letter,2,True,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,18,18,18,,,,,,,,,,,,,573.7062918000001,573.7062918000001,space,1.3981361999997262,575.1330109,576.2066905000001,576.2066905000001,576.2066905000001,576.2066905000001,576.2066905000001,578.4368364000002,n,578.4368364000002,578.4368364000002,578.4368364000002,578.4368364000002,578.4368364000002,578.4368364000002,578.4368364000002,578.4368364000002,None,None,None,,,1.265829000000167,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
S,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,19,19,19,,,,,,,,,,,,,578.4368364000002,578.4368364000002,None,,578.4368364000002,579.5155195000002,579.5155195000002,579.5155195000002,579.5155195000002,579.5155195000002,581.5467776,n,581.5467776,581.5467776,581.5467776,581.5467776,581.5467776,581.5467776,581.5467776,581.5467776,None,None,None,578.4368364000002,578.4368364000002,1.085854000000154,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
K,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,20,20,20,,,,,,,,,,,,,581.5467776,581.5467776,None,,581.5467776,582.6213386,582.6213386,582.6213386,582.6213386,582.6213386,584.6571113999998,n,584.6571113999998,584.6571113999998,584.6571113999998,584.6571113999998,584.6571113999998,584.6571113999998,584.6571113999998,584.6571113999998,None,None,None,581.5467776,581.5467776,0.43659939999974995,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
M,True,3,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,21,21,21,,,,,,,,,,,,,584.6571113999998,584.6571113999998,None,,584.6571113999998,585.7304723000002,585.7304723000002,585.7304723000002,585.7304723000002,585.7304723000002,587.7684371,c,587.7684371,587.7684371,587.7684371,587.7684371,587.7684371,587.7684371,587.7684371,587.7684371,None,None,None,584.6571113999998,584.6571113999998,0.49403959999995095,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
D,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,22,22,22,,,,,,,,,,,,,587.7684371,587.7684371,None,,587.7684371,,588.8484960000001,588.8484960000001,588.8484960000001,588.8484960000001,590.8794738000001,n,590.8794738000001,590.8794738000001,590.8794738000001,590.8794738000001,590.8794738000001,590.8794738000001,590.8794738000001,590.8794738000001,None,None,None,587.7684371,587.7684371,1.0891771999997673,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
K,True,3,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,23,23,23,,,,,,,,,,,,,590.8794738000001,590.8794738000001,None,,590.8794738000001,591.9469486000003,591.9469486000003,591.9469486000003,591.9469486000003,591.9469486000003,593.9737423000001,c,593.9737423000001,593.9737423000001,593.9737423000001,593.9737423000001,593.9737423000001,593.9737423000001,593.9737423000001,593.9737423000001,None,None,None,590.8794738000001,590.8794738000001,1.421576800000139,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
R,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,24,24,24,,,,,,,,,,,,,593.9737423000001,593.9737423000001,None,,593.9737423000001,595.0517012999999,595.0517012999999,595.0517012999999,595.0517012999999,595.0517012999999,597.2889043999999,n,597.2889043999999,597.2889043999999,597.2889043999999,597.2889043999999,597.2889043999999,597.2889043999999,597.2889043999999,597.2889043999999,None,None,None,593.9737423000001,593.9737423000001,1.3012166999999408,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
F,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,25,25,25,,,,,,,,,,,,,597.2889043999999,597.2889043999999,None,,597.2889043999999,598.3700131,598.3700131,598.3700131,598.3700131,598.3700131,600.6091044,n,600.6091044,600.6091044,600.6091044,600.6091044,600.6091044,600.6091044,600.6091044,600.6091044,None,None,None,597.2889043999999,597.2889043999999,0.9903377999996792,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
K,True,3,letter,2,False,True,robot_stimuli\\filler.mp4,1,0,0,0,0,0,26,26,26,,,,,,,,,,,,,600.6091044,600.6091044,None,,600.6091044,601.6817040000001,601.6817040000001,601.6817040000001,601.6817040000001,601.6817040000001,603.7416622999999,c,603.7416622999999,608.9031644000002,603.7416622999999,608.9031644000002,603.7416622999999,608.9031644000002,603.7416622999999,608.9031644000002,46.358024691358025,3.6883818000001156,space,600.6091044,600.6091044,1.3442671999998765,5.107182899999998,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
R_Arm_Y_Back,False,1,robot,1,True,False,robot_stimuli\R_Arm_Y_Back.mp4,1,0,0,0,0,0,27,27,27,,,,,,,,,,,,,608.9031644000002,608.9031644000002,space,1.96982230000026,610.8998087999998,612.0184887,,612.0184887,612.0184887,612.0184887,,n,615.6488978000002,615.6488978000002,615.6488978000002,615.6488978000002,615.6488978000002,615.6488978000002,615.6488978000002,615.6488978000002,None,None,None,,,2.982484699999759,,612.0184887,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
L_Torso_Z_For,False,1,robot,1,False,False,robot_stimuli\L_Torso_Z_For.mp4,1,0,0,0,0,0,28,28,28,,,,,,,,,,,,,615.6488978000002,615.6488978000002,None,,615.6488978000002,616.7482850000001,,616.7482850000001,616.7482850000001,616.7482850000001,,n,620.4009151,620.4009151,620.4009151,620.4009151,620.4009151,620.4009151,620.4009151,620.4009151,None,None,None,615.6488978000002,615.6488978000002,3.101131199999827,,616.7482850000001,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
