subject,stimuli,condition,correct,f1,rt,rsme
19,robot,1,0.9466666666666667,0.9523809523809523,2.776495222069464,7.6748971193415585
19,robot,2,0.7466666666666667,0.830188679245283,2.8629571107442846,42.75720164609053
19,robot,3,0.5666666666666667,0.5454545454545454,2.845792820952851,83.39506172839505
20,letter,1,0.98,0.9666666666666667,0.5480613939631293,21.71810699588477
20,letter,2,0.98,0.9836065573770492,0.7913230628409774,32.31481481481482
20,letter,3,0.9266666666666666,0.819672131147541,0.8388381106700399,71.61522633744856
20,robot,1,0.9666666666666667,0.9375,1.6023858275193987,36.84156378600823
20,robot,2,0.92,0.8421052631578948,1.7197741047655617,76.03909465020575
20,robot,3,0.8,0.6363636363636365,2.155195692364436,100.679012345679
21,letter,1,0.9866666666666667,1.0,0.5838261689179023,20.843621399176953
21,letter,2,0.9466666666666667,1.0,1.0229037964778835,36.635802469135804
21,letter,3,0.6133333333333333,0.7659574468085107,1.074302438833964,63.0761316872428
21,robot,1,0.8733333333333333,0.923076923076923,2.403546461028367,28.559670781893
21,robot,2,0.58,0.6779661016949152,2.75467452169699,43.117283950617285
21,robot,3,0.46,0.46511627906976744,2.6971542554337367,58.6008230452675
22,letter,1,0.96,1.0,0.6745071340276354,50.31893004115227
22,letter,2,0.92,0.9310344827586207,0.8656323584505309,62.40740740740741
22,letter,3,0.72,0.6779661016949152,1.1847388307084807,129.4135802469136
22,robot,1,0.9666666666666667,0.983050847457627,1.9712825109587941,38.0761316872428
22,robot,2,0.92,0.9032258064516129,2.0292542388887176,53.302469135802475
22,robot,3,0.7933333333333333,0.7692307692307692,2.1180075813430475,122.6440329218107
23,letter,1,0.9533333333333334,0.888888888888889,0.6510837597316356,33.755144032921805
23,letter,2,0.92,0.8421052631578948,0.831447982313017,47.84979423868313
23,letter,3,0.8,0.6122448979591836,0.8598692913669618,51.141975308641975
23,robot,1,0.8666666666666667,0.782608695652174,2.212445453571474,28.302469135802465
23,robot,2,0.78,0.5,2.384654964444472,51.86213991769548
23,robot,3,0.74,0.3076923076923077,2.422618045652262,56.95473251028807
